United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2010
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|463|478|416|265|335|326|370|427|442|367|427|335|4,651

New Orleans|247|179|173|303|303|394|404|218|223|204|244|279|3,171

Ramey|41|20|10|8|23|32|40|44|25|4|94|57|398

Blaine|50|69|52|59|57|58|54|44|53|65|70|42|673

Buffalo|241|214|207|168|216|252|207|231|189|135|180|182|2,422

Detroit|168|154|157|129|126|122|110|98|128|113|165|199|1,669

Grand Forks|55|47|36|26|37|45|39|80|23|34|74|47|543

Havre|31|23|17|11|18|54|30|32|20|12|20|22|290

Houlton|3|2|0|0|0|12|5|10|6|12|6|0|56

Spokane|35|21|14|19|15|27|25|34|33|42|51|40|356

Swanton|71|101|68|58|128|132|97|136|124|233|197|77|1,422
Big Bend
530|421|373|433|484|660|575|493|415|280|295|329|5,288
(formerly Marfa)
Del Rio|1,119|897|697|1,234|1,245|1,874|1,791|1,718|1,326|767|1,095|931|14,694

El Centro|2,589|2,412|2,196|2,688|2,836|4,408|3,419|3,126|2,440|2,331|2,075|2,042|32,562

El Paso|1,007|894|725|1,124|1,140|1,528|1,359|1,380|1,005|725|732|632|12,251

Laredo|2,613|2,130|1,802|2,526|3,173|4,433|4,528|3,813|3,475|1,857|2,819|2,118|35,287
Rio Grande Valley
4,236|3,688|2,987|3,658|4,845|7,141|7,139|7,477|5,595|3,832|5,329|3,839|59,766
(formerly McAllen)
San Diego|5,017|4,738|4,636|6,413|6,982|9,061|7,115|5,858|5,092|5,113|4,528|4,012|68,565

Tucson|23,197|16,986|10,907|16,122|21,266|31,197|28,579|22,572|13,160|10,303|9,280|8,633|212,202

Yuma|582|649|711|586|819|1,059|732|608|447|401|262|260|7,116

Coastal Border|751|677|599|576|661|752|814|689|690|575|765|671|8,220

Northern Border|654|631|551|470|597|702|567|665|576|646|763|609|7,431

Southwest Border|40,890|32,815|25,034|34,784|42,790|61,361|55,237|47,045|32,955|25,609|26,415|22,796|447,731

Monthly Total|42,295|34,123|26,184|35,830|44,048|62,815|56,618|48,399|34,221|26,830|27,943|24,076|463,382
*Livermore Sector was closed after FY 2004

