United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2007
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|669|429|405|751|531|475|477|573|905|648|651|606|7,120

New Orleans|379|379|222|327|398|492|336|336|340|354|155|300|4,018

Ramey|41|61|117|39|71|37|51|48|32|13|28|10|548

Blaine|61|36|62|61|59|87|50|67|82|67|60|57|749

Buffalo|141|155|104|123|125|170|167|178|219|223|233|353|2,191

Detroit|106|99|83|77|56|83|85|76|51|52|66|68|902

Grand Forks|56|32|45|25|40|48|49|33|35|40|54|40|497

Havre|68|56|53|41|60|40|27|27|31|17|31|35|486

Houlton|7|7|4|6|12|2|3|6|5|22|6|15|95

Spokane|30|18|23|30|22|37|24|29|42|47|27|12|341

Swanton|73|78|80|75|68|75|91|105|74|101|183|116|1,119
Big Bend
368|442|383|556|532|677|602|407|362|439|403|365|5,536
(formerly Marfa)
Del Rio|1,618|1,701|1,051|2,044|2,421|3,314|2,699|1,858|1,579|1,862|1,440|1,333|22,920

El Centro|4,379|3,667|3,037|4,983|5,187|7,198|6,983|5,747|3,842|3,835|3,789|3,236|55,883

El Paso|6,183|5,098|4,189|6,570|7,482|10,537|8,957|6,741|5,632|5,109|4,969|3,997|75,464

Laredo|4,286|3,810|2,890|4,678|5,855|7,673|6,428|4,928|4,595|4,338|3,858|3,375|56,714
Rio Grande Valley
5,772|4,549|3,649|5,798|6,172|8,431|7,645|7,736|5,791|6,225|6,331|5,331|73,430
(formerly McAllen)
San Diego|9,494|7,764|6,591|12,489|12,997|18,044|17,999|16,136|13,283|12,941|13,312|11,410|152,460

Tucson|25,135|21,323|16,136|29,459|34,148|52,692|49,044|41,789|34,103|30,373|24,388|19,649|378,239

Yuma|3,478|3,240|2,601|5,357|4,474|5,571|4,108|3,162|2,151|1,660|1,305|885|37,992

Coastal Border|1,089|869|744|1,117|1,000|1,004|864|957|1,277|1,015|834|916|11,686

Northern Border|542|481|454|438|442|542|496|521|539|569|660|696|6,380

Southwest Border|60,713|51,594|40,527|71,934|79,268|114,137|104,465|88,504|71,338|66,782|59,795|49,581|858,638

Monthly Total|62,344|52,944|41,725|73,489|80,710|115,683|105,825|89,982|73,154|68,366|61,289|51,193|876,704
*Livermore Sector was closed after FY 2004

