United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2003
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore|371|292|288|309|253|315|336|330|267|247|211|346|3,565

Miami|686|398|287|493|542|461|623|434|408|491|481|627|5,931

New Orleans|462|430|349|535|506|504|576|516|399|378|252|244|5,151

Ramey|198|316|121|201|32|36|46|231|81|21|172|233|1,688

Blaine|107|107|89|92|116|125|93|121|69|152|140|169|1,380

Buffalo|112|79|55|35|30|34|26|22|33|28|30|80|564

Detroit|151|195|153|178|188|170|220|195|196|235|232|232|2,345

Grand Forks|102|81|88|78|110|119|113|90|99|123|131|89|1,223

Havre|151|105|86|92|98|97|156|135|132|128|110|116|1,406

Houlton|53|22|12|19|17|16|19|30|21|38|29|16|292

Spokane|126|88|72|79|69|54|42|60|68|137|87|110|992

Swanton|107|80|80|101|113|121|101|156|337|352|235|172|1,955
Big Bend
754|722|872|862|974|1,097|860|1,099|678|773|867|761|10,319
(formerly Marfa)
Del Rio|3,037|1,942|2,083|6,546|7,127|6,579|5,020|4,973|2,857|2,993|3,700|3,288|50,145

El Centro|8,399|6,107|4,572|12,369|13,293|11,632|6,116|6,528|5,791|6,128|6,076|5,088|92,099

El Paso|6,545|5,303|4,008|9,255|10,000|8,883|7,359|8,120|6,998|7,618|7,538|7,189|88,816

Laredo|4,644|4,157|3,991|7,444|7,603|7,803|5,990|6,683|5,165|5,570|6,371|5,100|70,521
Rio Grande Valley
6,024|4,218|3,814|7,630|7,905|7,498|6,560|7,095|6,153|7,042|7,737|6,073|77,749
(formerly McAllen)
San Diego|7,339|5,379|4,280|10,177|10,958|11,158|9,082|10,680|9,271|10,207|11,217|11,767|111,515

Tucson|21,352|17,206|11,481|26,826|33,854|37,055|29,099|37,847|32,532|34,201|36,639|29,171|347,263

Yuma|3,698|2,697|2,723|5,816|5,155|6,694|5,273|5,665|6,085|4,752|4,341|3,739|56,638

Coastal Border|1,717|1,436|1,045|1,538|1,333|1,316|1,581|1,511|1,155|1,137|1,116|1,450|16,335

Northern Border|909|757|635|674|741|736|770|809|955|1,193|994|984|10,157

Southwest Border|61,792|47,731|37,824|86,925|96,869|98,399|75,359|88,690|75,530|79,284|84,486|72,176|905,065

Monthly Total|64,418|49,924|39,504|89,137|98,943|100,451|77,710|91,010|77,640|81,614|86,596|74,610|931,557

