United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2013
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|248|134|130|135|89|92|157|92|113|212|171|165|1,738

New Orleans|49|74|47|32|49|27|46|28|15|30|47|56|500

Ramey|24|56|45|39|107|194|11|27|99|43|164|115|924

Blaine|37|34|33|21|32|31|24|26|34|32|25|31|360

Buffalo|106|54|60|53|47|47|73|54|78|83|58|83|796

Detroit|65|58|64|58|44|50|49|43|42|67|59|51|650

Grand Forks|32|27|12|19|36|31|39|36|52|73|55|57|469

Havre|4|2|0|3|3|2|3|9|9|8|21|24|88

Houlton|15|1|0|0|1|2|2|0|7|1|3|5|37

Spokane|33|36|17|19|13|19|28|20|26|33|34|21|299

Swanton|35|21|29|17|41|50|53|57|42|72|48|66|531
Big Bend
356|238|213|340|400|416|473|341|232|219|218|238|3,684
(formerly Marfa)
Del Rio|1,792|1,715|1,135|1,617|2,223|2,771|2,778|2,332|1,695|2,039|1,817|1,596|23,510

El Centro|1,527|1,408|1,101|1,103|1,340|2,098|1,972|1,513|1,222|1,035|1,056|931|16,306

El Paso|977|860|629|776|1,030|1,176|1,217|1,163|857|852|852|765|11,154

Laredo|3,829|3,537|2,835|3,280|4,628|5,903|5,621|5,338|4,029|4,212|3,944|3,593|50,749
Rio Grande Valley
8,869|8,352|6,587|7,190|10,828|16,115|18,455|17,522|14,275|15,217|16,253|14,790|154,453
(formerly McAllen)
San Diego|1,922|1,924|1,795|2,150|2,227|3,062|2,833|2,854|2,324|2,313|2,069|2,023|27,496

Tucson|9,224|9,185|8,481|9,871|11,831|14,990|14,051|12,119|9,357|7,014|7,278|7,538|120,939

Yuma|433|417|467|594|535|762|812|674|445|329|310|328|6,106

Coastal Border|321|264|222|206|245|313|214|147|227|285|382|336|3,162

Northern Border|327|233|215|190|217|232|271|245|290|369|303|338|3,230

Southwest Border|28,929|27,636|23,243|26,921|35,042|47,293|48,212|43,856|34,436|33,230|33,797|31,802|414,397

Monthly Total|29,577|28,133|23,680|27,317|35,504|47,838|48,697|44,248|34,953|33,884|34,482|32,476|420,789
*Livermore Sector was closed after FY 2004

