United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2018

Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|196|168|164|189|189|202|205|172|130|244|173|137|2,169

New Orleans|46|62|27|86|63|54|63|35|115|43|102|102|798

Ramey|7|17|14|77|18|21|9|36|5|20|53|3|280

Blaine|19|22|22|15|10|54|40|35|27|22|43|50|359

Buffalo|48|23|17|25|16|29|32|46|55|33|28|32|384

Detroit|119|150|86|193|159|175|166|158|280|168|127|149|1,930

Grand Forks|48|40|38|21|30|41|31|41|38|41|55|37|461

Havre|10|13|2|0|2|1|1|0|6|4|6|2|47

Houlton|0|2|5|3|3|6|9|3|4|6|3|8|52

Spokane|30|16|17|22|19|36|27|32|29|39|52|28|347

Swanton|28|29|32|30|47|66|36|66|105|92|67|138|736
Big Bend
819|828|802|543|838|703|808|743|375|456|585|545|8,045
(formerly Marfa)
Del Rio|1,046|1,186|1,113|1,083|1,306|1,466|1,451|1,486|1,462|1,365|1,506|1,363|15,833

El Centro|2,194|2,123|2,110|2,052|1,954|2,697|2,790|2,683|2,327|2,531|2,821|2,948|29,230

El Paso|1,489|1,647|1,713|1,607|1,737|2,782|2,671|3,510|3,560|2,890|3,585|4,370|31,561

Laredo|2,451|2,283|1,982|2,296|2,671|3,652|3,370|3,210|2,586|2,600|2,785|2,755|32,641
Rio Grande Valley
9,722|11,726|11,668|9,484|9,611|14,140|15,993|17,491|14,703|13,238|16,744|17,742|162,262
(formerly McAllen)
San Diego|2,377|2,760|2,764|3,171|3,107|4,101|3,644|3,418|3,014|3,098|3,507|3,630|38,591

Tucson|3,854|4,562|4,400|3,925|3,824|5,785|5,012|4,760|4,146|3,241|3,627|5,036|52,172

Yuma|1,536|1,970|2,443|1,814|1,618|2,064|2,504|3,038|1,916|1,880|2,364|3,097|26,244

Coastal Border|249|247|205|352|270|277|277|243|250|307|328|242|3,247

Northern Border|302|295|219|309|286|408|342|381|544|405|381|444|4,316

Southwest Border|25,488|29,085|28,995|25,975|26,666|37,390|38,243|40,339|34,089|31,299|37,524|41,486|396,579

Monthly Total|26,039|29,627|29,419|26,636|27,222|38,075|38,862|40,963|34,883|32,011|38,233|42,172|404,142
*Livermore Sector was closed after FY 2004

