United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2001
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore|532|449|360|403|407|463|443|482|463|436|406|367|5,211

Miami|338|590|481|483|452|392|399|503|607|735|532|450|5,962

New Orleans|315|306|396|358|634|446|740|377|346|402|354|359|5,033

Ramey|399|285|187|418|79|73|19|117|94|107|101|73|1,952

Blaine|179|168|151|141|159|175|145|194|231|192|186|168|2,089

Buffalo|203|85|74|87|81|116|89|137|134|165|156|107|1,434

Detroit|132|139|107|195|182|167|157|156|177|195|349|150|2,106

Grand Forks|48|23|45|44|66|73|96|85|112|100|144|85|921

Havre|108|67|58|77|136|108|104|97|93|169|175|113|1,305

Houlton|40|37|30|54|27|30|24|31|33|153|182|44|685

Spokane|158|114|126|99|100|131|87|95|117|132|109|67|1,335

Swanton|126|120|75|101|73|95|109|139|168|543|715|199|2,463
Big Bend
844|874|776|846|1,046|1,427|1,249|1,123|1,058|1,107|906|831|12,087
(formerly Marfa)
Del Rio|7,648|5,344|3,756|11,218|16,447|16,833|11,444|9,005|7,048|6,069|6,038|4,025|104,875

El Centro|13,712|9,979|8,299|18,672|21,412|21,815|20,699|17,203|11,385|11,175|10,965|7,536|172,852

El Paso|6,095|5,401|4,683|10,862|12,369|15,311|12,738|11,343|8,035|8,607|9,945|7,468|112,857

Laredo|5,154|3,652|2,762|8,228|10,656|12,604|9,928|9,216|6,586|6,475|7,338|4,469|87,068
Rio Grande Valley
6,634|5,975|4,280|10,102|12,298|12,890|11,366|11,204|8,152|9,191|9,426|6,326|107,844
(formerly McAllen)
San Diego|8,002|5,556|5,270|11,558|12,085|13,510|12,597|11,270|8,467|7,580|8,297|5,883|110,075

Tucson|30,009|25,889|20,907|43,972|54,913|64,779|52,949|44,573|33,602|29,550|28,028|20,504|449,675

Yuma|4,534|5,039|4,348|9,632|11,003|11,411|9,843|7,990|4,798|3,848|3,705|2,234|78,385

Coastal Border|1,584|1,630|1,424|1,662|1,572|1,374|1,601|1,479|1,510|1,680|1,393|1,249|18,158

Northern Border|994|753|666|798|824|895|811|934|1,065|1,649|2,016|933|12,338

Southwest Border|82,632|67,709|55,081|125,090|152,229|170,580|142,813|122,927|89,131|83,602|84,648|59,276|1,235,718

Monthly Total|85,210|70,092|57,171|127,550|154,625|172,849|145,225|125,340|91,706|86,931|88,057|61,458|1,266,214

