United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2002
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore|437|439|373|362|247|314|359|340|360|358|457|325|4,371

Miami|391|352|251|445|415|494|422|475|440|532|564|362|5,143

New Orleans|352|220|299|357|373|459|492|307|460|427|424|495|4,665

Ramey|3|47|11|37|36|98|32|94|29|90|222|136|835

Blaine|127|152|172|106|147|132|156|175|124|148|157|136|1,732

Buffalo|50|73|36|74|101|112|155|121|85|64|142|89|1,102

Detroit|135|106|98|99|135|107|137|132|106|173|133|150|1,511

Grand Forks|85|80|87|93|87|113|131|159|153|138|108|135|1,369

Havre|114|119|92|89|107|144|123|138|113|139|163|122|1,463

Houlton|27|31|24|43|40|35|31|36|28|42|59|36|432

Spokane|62|53|60|98|91|100|90|104|99|135|121|129|1,142

Swanton|82|73|76|71|58|104|100|125|210|293|387|157|1,736
Big Bend
913|810|876|826|1,040|1,184|1,312|1,163|702|748|940|878|11,392
(formerly Marfa)
Del Rio|2,938|2,367|2,104|8,384|10,087|12,068|8,540|5,404|3,787|3,301|4,297|3,708|66,985

El Centro|4,069|3,318|3,720|9,670|11,118|15,673|14,274|11,415|8,870|7,897|9,557|8,692|108,273

El Paso|4,441|3,483|3,784|8,185|9,393|11,309|11,783|9,972|6,931|8,044|9,018|7,811|94,154

Laredo|3,431|2,949|2,608|7,711|10,628|12,270|10,709|7,861|6,545|5,830|6,376|5,177|82,095
Rio Grande Valley
4,784|3,744|3,843|8,035|8,438|10,153|10,310|9,473|8,109|7,523|8,762|6,753|89,927
(formerly McAllen)
San Diego|4,530|3,178|3,183|7,716|9,172|12,832|11,712|11,222|9,251|9,340|10,115|8,430|100,681

Tucson|11,124|10,523|9,208|25,182|32,264|46,094|47,712|36,333|30,898|30,212|30,078|24,020|333,648

Yuma|1,582|2,134|2,175|4,084|3,584|5,409|5,569|4,581|3,562|3,766|3,414|2,794|42,654

Coastal Border|1,183|1,058|934|1,201|1,071|1,365|1,305|1,216|1,289|1,407|1,667|1,318|15,014

Northern Border|682|687|645|673|766|847|923|990|918|1,132|1,270|954|10,487

Southwest Border|37,812|32,506|31,501|79,793|95,724|126,992|121,921|97,424|78,655|76,661|82,557|68,263|929,809

Monthly Total|39,677|34,251|33,080|81,667|97,561|129,204|124,149|99,630|80,862|79,200|85,494|70,535|955,310

