United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2005
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore|51|26|6|3|0|7|5|3|7|1|0|5|114

Miami|541|460|489|641|487|574|536|717|676|648|586|890|7,245

New Orleans|140|129|135|155|73|100|96|170|69|83|186|22|1,358

Ramey|188|112|205|33|106|63|163|67|103|101|156|322|1,619

Blaine|89|92|75|69|93|96|68|88|93|85|72|81|1,001

Buffalo|26|27|21|28|29|37|40|53|19|34|45|41|400

Detroit|200|176|133|164|205|193|132|113|122|107|132|116|1,793

Grand Forks|109|72|73|98|90|61|35|24|41|28|56|67|754

Havre|83|106|57|73|70|85|105|89|88|70|74|48|948

Houlton|17|47|31|27|26|6|19|10|11|18|8|13|233

Spokane|26|26|30|26|7|22|33|30|41|18|14|6|279

Swanton|193|186|141|95|105|152|105|123|241|274|214|106|1,935
Big Bend
844|713|722|802|1,113|1,364|1,276|866|620|761|777|678|10,536
(formerly Marfa)
Del Rio|3,856|2,795|2,768|6,120|7,248|7,935|7,584|6,270|4,947|5,873|6,498|6,612|68,506

El Centro|3,723|2,798|1,772|4,963|5,926|6,632|6,010|5,352|3,829|3,712|5,047|5,958|55,722

El Paso|7,472|5,801|4,464|9,898|13,033|13,249|15,274|11,041|8,445|11,568|12,099|10,335|122,679

Laredo|4,691|3,997|3,367|6,331|7,530|8,112|9,043|7,569|5,699|6,623|6,635|5,749|75,346
Rio Grande Valley
7,813|7,512|7,214|9,136|10,147|13,176|14,635|14,796|13,109|12,208|12,713|11,727|134,186
(formerly McAllen)
San Diego|6,702|5,428|4,632|9,390|10,864|12,750|16,534|15,114|10,921|10,010|11,798|12,761|126,904

Tucson|31,940|27,673|17,631|35,873|45,875|64,096|52,644|40,764|31,694|32,390|29,178|29,321|439,079

Yuma|8,872|8,418|5,836|10,507|12,039|15,734|17,062|14,051|11,522|11,809|11,988|10,600|138,438

Coastal Border|920|727|835|832|666|744|800|957|855|833|928|1,239|10,336

Northern Border|743|732|561|580|625|652|537|530|656|634|615|478|7,343

Southwest Border|75,913|65,135|48,406|93,020|113,775|143,048|140,062|115,823|90,786|94,954|96,733|93,741|1,171,396

Monthly Total|77,576|66,594|49,802|94,432|115,066|144,444|141,399|117,310|92,297|96,421|98,276|95,458|1,189,075

