United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2008
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|553|496|685|456|539|699|634|433|519|277|335|394|6,020

New Orleans|382|429|329|650|305|365|462|318|439|296|251|77|4,303

Ramey|90|40|20|52|12|55|48|33|53|28|50|91|572

Blaine|52|75|40|91|69|108|101|67|75|88|82|106|954

Buffalo|382|290|295|228|260|304|233|222|260|259|291|315|3,339

Detroit|100|63|68|79|71|95|64|113|83|73|84|68|961

Grand Forks|67|91|41|24|38|22|41|30|52|41|38|56|541

Havre|63|121|13|33|19|3|23|28|33|21|38|32|427

Houlton|15|5|2|17|2|0|5|3|1|7|14|10|81

Spokane|30|40|17|18|27|15|20|10|34|38|34|57|340

Swanton|106|126|64|74|85|87|72|92|148|195|159|74|1,282
Big Bend
386|388|451|350|612|613|527|586|369|416|415|278|5,391
(formerly Marfa)
Del Rio|1,679|1,059|945|1,961|2,462|2,667|2,286|1,745|1,708|1,482|1,618|1,149|20,761

El Centro|3,230|2,412|2,000|3,839|4,095|4,604|5,090|3,860|3,161|2,726|2,995|2,949|40,961

El Paso|3,605|2,648|2,015|3,470|3,944|3,129|2,808|2,035|1,811|1,634|1,615|1,598|30,312

Laredo|3,825|2,658|1,969|3,907|5,001|5,355|4,904|3,733|3,432|3,066|3,310|2,498|43,658
Rio Grande Valley
5,989|4,695|3,974|5,216|6,880|8,543|9,417|7,967|6,308|5,562|6,103|4,819|75,473
(formerly McAllen)
San Diego|9,801|9,163|7,773|12,877|15,091|18,869|20,569|16,015|12,395|13,127|13,734|12,976|162,390

Tucson|21,730|18,231|11,721|26,347|34,309|45,239|45,442|32,845|24,289|21,093|18,406|18,044|317,696

Yuma|1,094|955|954|1,061|1,089|751|523|447|381|366|345|397|8,363

Coastal Border|1,025|965|1,034|1,158|856|1,119|1,144|784|1,011|601|636|562|10,895

Northern Border|815|811|540|564|571|634|559|565|686|722|740|718|7,925

Southwest Border|51,339|42,209|31,802|59,028|73,483|89,770|91,566|69,233|53,854|49,472|48,541|44,708|705,005

Monthly Total|53,179|43,985|33,376|60,750|74,910|91,523|93,269|70,582|55,551|50,795|49,917|45,988|723,825
*Livermore Sector was closed after FY 2004

