United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2017

Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|178|186|329|161|194|150|193|221|173|195|196|104|2,280

New Orleans|76|98|81|121|94|88|50|105|57|52|74|24|920

Ramey|77|41|62|99|15|15|39|17|0|8|15|0|388

Blaine|45|36|28|20|23|21|16|12|23|27|27|10|288

Buffalo|9|19|12|24|66|16|33|76|48|55|37|52|447

Detroit|64|30|34|43|71|143|119|112|118|113|132|91|1,070

Grand Forks|19|25|23|40|48|56|57|44|42|51|58|33|496

Havre|1|3|2|0|4|0|4|6|4|7|7|1|39

Houlton|5|0|0|1|0|1|0|5|1|5|8|4|30

Spokane|16|10|7|5|18|22|14|14|50|19|17|16|208

Swanton|10|22|25|19|43|43|25|41|51|63|73|34|449
Big Bend
697|603|477|473|383|357|413|552|378|492|563|614|6,002
(formerly Marfa)
Del Rio|2,106|1,880|1,817|1,243|1,104|746|589|740|761|760|798|932|13,476

El Centro|2,441|1,850|1,870|1,796|1,196|871|849|1,134|1,280|1,478|1,880|1,988|18,633

El Paso|3,973|4,105|3,948|2,779|1,575|978|906|1,032|1,180|1,395|1,782|1,540|25,193

Laredo|3,350|3,194|2,460|2,265|1,710|1,256|1,304|1,722|1,839|2,120|2,143|2,097|25,460
Rio Grande Valley
22,642|24,686|23,418|15,580|7,855|4,147|3,942|4,882|5,817|7,107|8,650|8,836|137,562
(formerly McAllen)
San Diego|2,934|2,947|3,099|2,927|1,808|1,356|1,392|1,724|1,652|1,764|2,241|2,242|26,086

Tucson|5,924|5,912|4,303|3,357|2,589|2,148|1,487|2,199|2,632|2,177|2,913|3,016|38,657

Yuma|2,117|2,034|1,859|1,156|534|336|245|534|548|894|1,318|1,272|12,847

Coastal Border|331|325|472|381|303|253|282|343|230|255|285|128|3,588

Northern Border|169|145|131|152|273|302|268|310|337|340|359|241|3,027

Southwest Border|46,184|47,211|43,251|31,576|18,754|12,195|11,127|14,519|16,087|18,187|22,288|22,537|303,916

Monthly Total|46,684|47,681|43,854|32,109|19,330|12,750|11,677|15,172|16,654|18,782|22,932|22,906|310,531
*Livermore Sector was closed after FY 2004

