United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2004
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore|296|225|220|172|184|183|185|214|171|0|0|0|1,850

Miami|437|321|367|522|418|346|371|252|415|344|494|315|4,602

New Orleans|284|244|184|293|226|376|282|286|296|98|158|162|2,889

Ramey|213|247|332|166|188|31|178|87|99|74|165|33|1,813

Blaine|135|100|101|76|118|145|132|136|106|85|117|103|1,354

Buffalo|25|17|30|28|28|84|60|84|85|86|95|49|671

Detroit|154|157|111|114|108|202|149|173|148|184|212|200|1,912

Grand Forks|92|89|85|105|70|106|84|134|136|122|105|97|1,225

Havre|81|48|90|84|62|84|69|92|83|108|106|79|986

Houlton|27|19|17|38|17|15|17|22|17|32|24|18|263

Spokane|83|79|51|69|103|101|52|58|84|54|49|64|847

Swanton|177|82|107|224|182|195|141|179|270|526|374|244|2,701
Big Bend
707|710|824|696|907|1,104|993|923|885|1,068|930|783|10,530
(formerly Marfa)
Del Rio|2,913|2,372|2,307|5,044|6,561|7,983|4,960|5,177|3,709|4,242|4,573|3,953|53,794

El Centro|5,438|3,799|2,802|7,826|8,417|10,761|8,327|7,616|5,611|4,581|5,086|4,203|74,467

El Paso|6,451|5,244|4,030|8,768|10,584|13,483|12,632|10,343|8,432|8,654|8,321|7,457|104,399

Laredo|4,479|4,670|3,571|6,540|8,057|9,686|7,069|7,421|6,149|5,376|6,570|5,118|74,706
Rio Grande Valley
5,414|5,053|4,636|8,102|8,732|10,149|9,618|8,916|7,423|8,826|8,542|7,536|92,947
(formerly McAllen)
San Diego|10,426|7,996|5,849|13,405|13,252|17,532|15,962|14,976|11,548|9,530|9,716|8,416|138,608

Tucson|26,530|24,890|17,349|34,913|45,312|72,095|64,563|53,132|42,013|39,114|38,740|33,120|491,771

Yuma|3,033|3,160|2,246|7,227|8,847|12,188|11,344|10,222|8,820|10,774|10,768|9,431|98,060

Coastal Border|1,230|1,037|1,103|1,153|1,016|936|1,016|839|981|516|817|510|11,154

Northern Border|774|591|592|738|688|932|704|878|929|1,197|1,082|854|9,959

Southwest Border|65,391|57,894|43,614|92,521|110,669|154,981|135,468|118,726|94,590|92,165|93,246|80,017|1,139,282

Monthly Total|67,395|59,522|45,309|94,412|112,373|156,849|137,188|120,443|96,500|93,878|95,145|81,381|1,160,395

