United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2012
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|216|293|195|249|180|156|159|226|137|249|207|242|2,509

New Orleans|49|48|39|40|42|24|22|58|22|12|21|97|474

Ramey|72|100|41|51|50|68|41|39|123|41|33|43|702

Blaine|50|58|47|41|53|51|42|28|40|41|41|45|537

Buffalo|118|87|56|78|90|100|89|106|61|126|104|128|1,143

Detroit|127|109|57|62|67|95|111|67|82|67|55|51|950

Grand Forks|58|46|16|29|13|30|33|26|36|43|32|56|418

Havre|21|9|18|4|9|11|9|5|5|3|4|4|102

Houlton|0|3|2|1|0|1|2|1|7|4|9|11|41

Spokane|34|18|23|24|18|21|35|22|25|40|34|23|317

Swanton|40|43|43|26|51|48|47|52|103|120|69|60|702
Big Bend
284|317|288|323|423|450|393|304|300|303|333|246|3,964
(formerly Marfa)
Del Rio|1,364|1,289|871|1,204|1,788|2,375|2,791|2,480|2,123|1,942|1,770|1,723|21,720

El Centro|1,946|1,698|1,401|1,655|2,041|2,857|2,805|2,622|2,107|1,896|1,411|1,477|23,916

El Paso|647|662|534|625|812|1,151|888|823|840|793|984|919|9,678

Laredo|2,835|2,846|1,853|3,180|3,855|5,154|5,100|4,478|4,019|3,670|4,306|3,576|44,872
Rio Grande Valley
6,201|5,513|4,285|5,514|6,709|9,622|11,160|11,583|10,112|9,023|9,295|8,745|97,762
(formerly McAllen)
San Diego|2,439|2,185|2,136|2,185|2,439|3,064|2,879|2,787|2,170|2,165|2,020|1,992|28,461

Tucson|9,306|8,361|7,100|10,209|12,836|16,559|14,095|11,343|8,636|6,856|7,116|7,583|120,000

Yuma|590|497|515|819|676|986|517|546|362|330|332|330|6,500

Coastal Border|337|441|275|340|272|248|222|323|282|302|261|382|3,685

Northern Border|448|373|262|265|301|357|368|307|359|444|348|378|4,210

Southwest Border|25,612|23,368|18,983|25,714|31,579|42,218|40,628|36,966|30,669|26,978|27,567|26,591|356,873

Monthly Total|26,397|24,182|19,520|26,319|32,152|42,823|41,218|37,596|31,310|27,724|28,176|27,351|364,768
*Livermore Sector was closed after FY 2004

