United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2006
Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Livermore*|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A

Miami|438|543|693|506|452|450|592|725|523|358|295|457|6,032

New Orleans|48|176|214|372|300|230|136|402|238|289|325|323|3,053

Ramey|184|119|174|60|208|136|127|149|112|46|85|36|1,436

Blaine|71|103|49|54|54|50|83|85|64|66|64|68|811

Buffalo|120|107|71|85|96|101|111|178|154|174|148|172|1,517

Detroit|120|134|130|138|92|149|83|108|78|76|97|76|1,281

Grand Forks|59|48|41|56|36|18|66|49|26|31|48|40|518

Havre|26|58|28|40|62|32|43|63|56|47|52|61|568

Houlton|17|21|15|28|10|12|11|5|22|12|16|6|175

Spokane|8|23|8|10|3|12|26|6|19|6|19|45|185

Swanton|107|98|89|96|75|87|83|121|155|352|201|80|1,544
Big Bend
655|590|563|739|908|910|746|711|478|392|403|425|7,520
(formerly Marfa)
Del Rio|4,840|4,016|2,910|4,839|5,854|5,636|4,555|2,633|2,106|1,947|1,683|1,617|42,636

El Centro|5,072|3,831|2,998|5,797|6,399|9,048|6,847|6,187|4,112|3,240|3,705|4,229|61,465

El Paso|11,027|8,191|5,668|11,941|14,457|18,668|15,238|12,239|7,664|6,970|5,027|5,166|122,256

Laredo|5,014|4,323|3,544|7,415|9,554|10,179|8,530|6,866|4,815|4,667|5,525|4,408|74,840
Rio Grande Valley
10,060|9,111|7,128|9,533|10,444|13,080|11,264|11,649|7,516|7,109|7,020|6,614|110,528
(formerly McAllen)
San Diego|10,145|7,730|6,531|13,959|17,160|18,361|14,736|13,888|10,597|8,683|10,009|10,305|142,104

Tucson|27,316|24,270|16,447|33,229|43,153|63,583|51,588|40,190|25,049|21,187|23,256|22,806|392,074

Yuma|9,428|8,913|6,884|13,743|17,117|21,231|13,034|11,087|6,029|5,446|3,123|2,514|118,549

Coastal Border|670|838|1,081|938|960|816|855|1,276|873|693|705|816|10,521

Northern Border|528|592|431|507|428|461|506|615|574|764|645|548|6,599

Southwest Border|83,557|70,975|52,673|101,195|125,046|160,696|126,538|105,450|68,366|59,641|59,751|58,084|1,071,972

Monthly Total|84,755|72,405|54,185|102,640|126,434|161,973|127,899|107,341|69,813|61,098|61,101|59,448|1,089,092
*Livermore Sector was closed after FY 2004

