United States Border Patrol
Total Illegal Alien Apprehensions By Month - FY 2019

Yearly
SECTOR|October|November|December|January|February|March|April|May|June|July|August|September
Total
Miami|201|136|149|172|111|184|191|163|140|165|179|100|1,891

New Orleans|74|82|60|100|101|94|132|105|100|87|105|92|1132

Ramey|21|26|36|32|20|61|15|64|78|27|106|76|562

Blaine|53|35|48|41|41|54|35|27|53|49|38|50|524

Buffalo|40|29|19|26|27|43|33|18|55|93|123|31|537

Detroit|188|107|119|107|115|118|102|114|95|79|80|98|1,322

Grand Forks|24|28|29|20|24|36|48|41|43|31|41|47|412

Havre|7|7|5|8|0|5|7|3|8|14|5|8|77

Houlton|2|3|2|0|0|4|1|0|4|19|8|9|52

Spokane|38|41|23|57|42|52|37|46|11|19|30|32|428

Swanton|148|68|79|40|58|109|73|104|87|91|80|119|1056

Big Bend|555|448|621|588|845|942|941|1557|628|799|922|791|9,637

Del Rio|2,002|2,088|2,024|2,524|4,013|5,563|5,848|8,563|8,085|6,686|5,297|4,576|57,269

El Centro|3,242|3,189|2,718|2,461|3,319|3,561|3,386|3,482|2,885|2,214|2,327|2,354|35,138

El Paso|7,334|8,867|9,450|9,137|14,171|22,224|27,073|38,637|18,882|11,594|8,078|6,696|182,143

Laredo|3,448|2,669|2,059|2,632|3,123|4,192|3,975|4,115|3,819|2,686|2,421|3,239|38,378

Rio Grande Valley|20,755|20,713|18,372|17,713|25,366|33,763|36,727|49,821|43,207|36,854|22,355|13,489|339,135

San Diego|4,227|4,577|5,816|4,122|5,448|6,881|6,197|5,882|4,684|3,458|3,321|3,436|58,049

Tucson|5,828|5,062|4,912|4,096|4,911|7,257|5,921|6,875|5,517|4,129|4,080|4,902|63,490

Yuma|3,614|4,244|4,779|4,706|5,687|8,450|9,205|13,924|7,195|3,558|1,883|1,024|68,269

Coastal Border|296|244|245|304|232|339|338|332|318|279|390|268|3,585

Northern Border|500|318|324|299|307|421|336|353|356|395|405|394|4,408

Southwest Border|51,005|51,857|50,751|47,979|66,883|92,833|99,273|132,856|94,902|71,978|50,684|40,507|851,508

Monthly Total|51,801|52,419|51,320|48,582|67,422|93,593|99,947|133,541|95,576|72,652|51,479|41,169|859,501

